id	char	class	unicode_bytes
156	🐤	main_component	"b'\\U0001f424'"
157	🔆	main_component	"b'\\U0001f506'"
158	🉑	main_component	"b'\\U0001f251'"
159	🕘	main_component	"b'\\U0001f558'"
160	🎈	main_component	"b'\\U0001f388'"
161	🍝	main_component	"b'\\U0001f35d'"
162	🤸	main_component	"b'\\U0001f938'"
163	🚋	main_component	"b'\\U0001f68b'"
164	🎐	main_component	"b'\\U0001f390'"
165	💉	main_component	"b'\\U0001f489'"
166	🌕	main_component	"b'\\U0001f315'"
167	⚾	main_component	"b'\\u26be'"
168	👽	main_component	"b'\\U0001f47d'"
169	🛑	main_component	"b'\\U0001f6d1'"
170	🍬	main_component	"b'\\U0001f36c'"
171	🛬	main_component	"b'\\U0001f6ec'"
172	🌓	main_component	"b'\\U0001f313'"
173	🔍	main_component	"b'\\U0001f50d'"
174	©	main_component	"b'\\xa9'"
175	🏒	main_component	"b'\\U0001f3d2'"
176	🧭	main_component	"b'\\U0001f9ed'"
177	🌴	main_component	"b'\\U0001f334'"
178	💥	main_component	"b'\\U0001f4a5'"
179	😾	main_component	"b'\\U0001f63e'"
180	😒	main_component	"b'\\U0001f612'"
181	🔓	main_component	"b'\\U0001f513'"
182	➡	main_component	"b'\\u27a1'"
183	🔙	main_component	"b'\\U0001f519'"
184	💆	main_component	"b'\\U0001f486'"
185	📤	main_component	"b'\\U0001f4e4'"
186	😛	main_component	"b'\\U0001f61b'"
187	🕝	main_component	"b'\\U0001f55d'"
188	🍮	main_component	"b'\\U0001f36e'"
189	🍄	main_component	"b'\\U0001f344'"
190	🚦	main_component	"b'\\U0001f6a6'"
191	⏲	main_component	"b'\\u23f2'"
192	♉	main_component	"b'\\u2649'"
193	📆	main_component	"b'\\U0001f4c6'"
194	🦉	main_component	"b'\\U0001f989'"
195	🦇	main_component	"b'\\U0001f987'"
196	🍺	main_component	"b'\\U0001f37a'"
197	😄	main_component	"b'\\U0001f604'"
198	🦵	main_component	"b'\\U0001f9b5'"
199	🎷	main_component	"b'\\U0001f3b7'"
200	🦌	main_component	"b'\\U0001f98c'"
201	🌖	main_component	"b'\\U0001f316'"
202	🧲	main_component	"b'\\U0001f9f2'"
203	🔸	main_component	"b'\\U0001f538'"
204	✋	main_component	"b'\\u270b'"
205	👧	main_component	"b'\\U0001f467'"
206	🍷	main_component	"b'\\U0001f377'"
207	⁉	main_component	"b'\\u2049'"
208	🈲	main_component	"b'\\U0001f232'"
209	👩	main_component	"b'\\U0001f469'"
210	🎻	main_component	"b'\\U0001f3bb'"
211	🚘	main_component	"b'\\U0001f698'"
212	❔	main_component	"b'\\u2754'"
213	🍚	main_component	"b'\\U0001f35a'"
214	🍛	main_component	"b'\\U0001f35b'"
215	🗑	main_component	"b'\\U0001f5d1'"
216	🍾	main_component	"b'\\U0001f37e'"
217	🏍	main_component	"b'\\U0001f3cd'"
218	🔹	main_component	"b'\\U0001f539'"
219	🏹	main_component	"b'\\U0001f3f9'"
220	🚾	main_component	"b'\\U0001f6be'"
221	☝	main_component	"b'\\u261d'"
222	⏭	main_component	"b'\\u23ed'"
223	🕋	main_component	"b'\\U0001f54b'"
224	🐪	main_component	"b'\\U0001f42a'"
225	🎗	main_component	"b'\\U0001f397'"
226	‼	main_component	"b'\\u203c'"
227	🙌	main_component	"b'\\U0001f64c'"
228	🧾	main_component	"b'\\U0001f9fe'"
229	💡	main_component	"b'\\U0001f4a1'"
230	🧦	main_component	"b'\\U0001f9e6'"
231	🆗	main_component	"b'\\U0001f197'"
232	🛶	main_component	"b'\\U0001f6f6'"
233	🕛	main_component	"b'\\U0001f55b'"
234	🦢	main_component	"b'\\U0001f9a2'"
235	🦖	main_component	"b'\\U0001f996'"
236	⚪	main_component	"b'\\u26aa'"
237	🤗	main_component	"b'\\U0001f917'"
238	🔱	main_component	"b'\\U0001f531'"
239	🥋	main_component	"b'\\U0001f94b'"
240	⛵	main_component	"b'\\u26f5'"
241	🌛	main_component	"b'\\U0001f31b'"
242	👝	main_component	"b'\\U0001f45d'"
243	🚥	main_component	"b'\\U0001f6a5'"
244	🤖	main_component	"b'\\U0001f916'"
245	🏟	main_component	"b'\\U0001f3df'"
246	🦄	main_component	"b'\\U0001f984'"
247	🖊	main_component	"b'\\U0001f58a'"
248	🛀	main_component	"b'\\U0001f6c0'"
249	㊙	main_component	"b'\\u3299'"
250	⌨	main_component	"b'\\u2328'"
251	🐦	main_component	"b'\\U0001f426'"
252	🔂	main_component	"b'\\U0001f502'"
253	👳	main_component	"b'\\U0001f473'"
254	🚿	main_component	"b'\\U0001f6bf'"
255	🥫	main_component	"b'\\U0001f96b'"
256	🤱	main_component	"b'\\U0001f931'"
257	😞	main_component	"b'\\U0001f61e'"
258	🧵	main_component	"b'\\U0001f9f5'"
259	🚡	main_component	"b'\\U0001f6a1'"
260	🏦	main_component	"b'\\U0001f3e6'"
261	🧹	main_component	"b'\\U0001f9f9'"
262	📏	main_component	"b'\\U0001f4cf'"
263	😴	main_component	"b'\\U0001f634'"
264	🧢	main_component	"b'\\U0001f9e2'"
265	♥	main_component	"b'\\u2665'"
266	🦗	main_component	"b'\\U0001f997'"
267	🥑	main_component	"b'\\U0001f951'"
268	☦	main_component	"b'\\u2626'"
269	👌	main_component	"b'\\U0001f44c'"
270	🐿	main_component	"b'\\U0001f43f'"
271	🎍	main_component	"b'\\U0001f38d'"
272	❓	main_component	"b'\\u2753'"
273	🚰	main_component	"b'\\U0001f6b0'"
274	🎱	main_component	"b'\\U0001f3b1'"
275	⛽	main_component	"b'\\u26fd'"
276	🖖	main_component	"b'\\U0001f596'"
277	📈	main_component	"b'\\U0001f4c8'"
278	👺	main_component	"b'\\U0001f47a'"
279	😐	main_component	"b'\\U0001f610'"
280	🥿	main_component	"b'\\U0001f97f'"
281	☃	main_component	"b'\\u2603'"
282	👑	main_component	"b'\\U0001f451'"
283	🚎	main_component	"b'\\U0001f68e'"
284	〰	main_component	"b'\\u3030'"
285	🎳	main_component	"b'\\U0001f3b3'"
286	🥜	main_component	"b'\\U0001f95c'"
287	🤧	main_component	"b'\\U0001f927'"
288	🦡	main_component	"b'\\U0001f9a1'"
289	🎽	main_component	"b'\\U0001f3bd'"
290	💸	main_component	"b'\\U0001f4b8'"
291	😲	main_component	"b'\\U0001f632'"
292	🔘	main_component	"b'\\U0001f518'"
293	🈂	main_component	"b'\\U0001f202'"
294	🗨	main_component	"b'\\U0001f5e8'"
295	🍕	main_component	"b'\\U0001f355'"
296	🥇	main_component	"b'\\U0001f947'"
297	🐸	main_component	"b'\\U0001f438'"
298	🎎	main_component	"b'\\U0001f38e'"
299	🤟	main_component	"b'\\U0001f91f'"
300	🏧	main_component	"b'\\U0001f3e7'"
301	👱	main_component	"b'\\U0001f471'"
302	🌏	main_component	"b'\\U0001f30f'"
303	👘	main_component	"b'\\U0001f458'"
304	🦒	main_component	"b'\\U0001f992'"
305	➗	main_component	"b'\\u2797'"
306	😳	main_component	"b'\\U0001f633'"
307	🚷	main_component	"b'\\U0001f6b7'"
308	🌦	main_component	"b'\\U0001f326'"
309	🔴	main_component	"b'\\U0001f534'"
310	🥞	main_component	"b'\\U0001f95e'"
311	👮	main_component	"b'\\U0001f46e'"
312	⚫	main_component	"b'\\u26ab'"
313	⛺	main_component	"b'\\u26fa'"
314	😎	main_component	"b'\\U0001f60e'"
315	🍲	main_component	"b'\\U0001f372'"
316	🥒	main_component	"b'\\U0001f952'"
317	🧡	main_component	"b'\\U0001f9e1'"
318	🏉	main_component	"b'\\U0001f3c9'"
319	⚓	main_component	"b'\\u2693'"
320	❕	main_component	"b'\\u2755'"
321	🙍	main_component	"b'\\U0001f64d'"
322	〽	main_component	"b'\\u303d'"
323	🕸	main_component	"b'\\U0001f578'"
324	🦅	main_component	"b'\\U0001f985'"
325	😋	main_component	"b'\\U0001f60b'"
326	⏪	main_component	"b'\\u23ea'"
327	📮	main_component	"b'\\U0001f4ee'"
328	🦎	main_component	"b'\\U0001f98e'"
329	🌇	main_component	"b'\\U0001f307'"
330	🎃	main_component	"b'\\U0001f383'"
331	⚕	main_component	"b'\\u2695'"
332	🙆	main_component	"b'\\U0001f646'"
333	😜	main_component	"b'\\U0001f61c'"
334	😔	main_component	"b'\\U0001f614'"
335	❇	main_component	"b'\\u2747'"
336	🌄	main_component	"b'\\U0001f304'"
337	🏸	main_component	"b'\\U0001f3f8'"
338	🗒	main_component	"b'\\U0001f5d2'"
339	🤞	main_component	"b'\\U0001f91e'"
340	⚖	main_component	"b'\\u2696'"
341	💪	main_component	"b'\\U0001f4aa'"
342	🐴	main_component	"b'\\U0001f434'"
343	🔠	main_component	"b'\\U0001f520'"
344	💱	main_component	"b'\\U0001f4b1'"
345	⏹	main_component	"b'\\u23f9'"
346	🏏	main_component	"b'\\U0001f3cf'"
347	🎓	main_component	"b'\\U0001f393'"
348	🧓	main_component	"b'\\U0001f9d3'"
349	🔃	main_component	"b'\\U0001f503'"
350	🚽	main_component	"b'\\U0001f6bd'"
351	⚛	main_component	"b'\\u269b'"
352	🐄	main_component	"b'\\U0001f404'"
353	🚅	main_component	"b'\\U0001f685'"
354	🆘	main_component	"b'\\U0001f198'"
355	🐒	main_component	"b'\\U0001f412'"
356	🤺	main_component	"b'\\U0001f93a'"
357	🔫	main_component	"b'\\U0001f52b'"
358	💛	main_component	"b'\\U0001f49b'"
359	😘	main_component	"b'\\U0001f618'"
360	✂	main_component	"b'\\u2702'"
361	😺	main_component	"b'\\U0001f63a'"
362	💴	main_component	"b'\\U0001f4b4'"
363	👸	main_component	"b'\\U0001f478'"
364	🚢	main_component	"b'\\U0001f6a2'"
365	🗯	main_component	"b'\\U0001f5ef'"
366	✡	main_component	"b'\\u2721'"
367	🚺	main_component	"b'\\U0001f6ba'"
368	🍟	main_component	"b'\\U0001f35f'"
369	💨	main_component	"b'\\U0001f4a8'"
370	⚙	main_component	"b'\\u2699'"
371	➖	main_component	"b'\\u2796'"
372	🔔	main_component	"b'\\U0001f514'"
373	😉	main_component	"b'\\U0001f609'"
374	🌰	main_component	"b'\\U0001f330'"
375	🌥	main_component	"b'\\U0001f325'"
376	💖	main_component	"b'\\U0001f496'"
377	👫	main_component	"b'\\U0001f46b'"
378	🚏	main_component	"b'\\U0001f68f'"
379	🕖	main_component	"b'\\U0001f556'"
380	🦟	main_component	"b'\\U0001f99f'"
381	🎦	main_component	"b'\\U0001f3a6'"
382	🧳	main_component	"b'\\U0001f9f3'"
383	📵	main_component	"b'\\U0001f4f5'"
384	📗	main_component	"b'\\U0001f4d7'"
385	🐎	main_component	"b'\\U0001f40e'"
386	📂	main_component	"b'\\U0001f4c2'"
387	❤	main_component	"b'\\u2764'"
388	🚶	main_component	"b'\\U0001f6b6'"
389	👭	main_component	"b'\\U0001f46d'"
390	🥏	main_component	"b'\\U0001f94f'"
391	🖐	main_component	"b'\\U0001f590'"
392	🏃	main_component	"b'\\U0001f3c3'"
393	🧱	main_component	"b'\\U0001f9f1'"
394	🌯	main_component	"b'\\U0001f32f'"
395	🕵	main_component	"b'\\U0001f575'"
396	👶	main_component	"b'\\U0001f476'"
397	😇	main_component	"b'\\U0001f607'"
398	🌩	main_component	"b'\\U0001f329'"
399	📐	main_component	"b'\\U0001f4d0'"
400	🕌	main_component	"b'\\U0001f54c'"
401	🌀	main_component	"b'\\U0001f300'"
402	🍖	main_component	"b'\\U0001f356'"
403	😮	main_component	"b'\\U0001f62e'"
404	🐆	main_component	"b'\\U0001f406'"
405	🙏	main_component	"b'\\U0001f64f'"
406	🚃	main_component	"b'\\U0001f683'"
407	㊗	main_component	"b'\\u3297'"
408	♦	main_component	"b'\\u2666'"
409	📦	main_component	"b'\\U0001f4e6'"
410	🚣	main_component	"b'\\U0001f6a3'"
411	🥓	main_component	"b'\\U0001f953'"
412	🎰	main_component	"b'\\U0001f3b0'"
413	🍌	main_component	"b'\\U0001f34c'"
414	🧐	main_component	"b'\\U0001f9d0'"
415	🔈	main_component	"b'\\U0001f508'"
416	📻	main_component	"b'\\U0001f4fb'"
417	🏓	main_component	"b'\\U0001f3d3'"
418	📌	main_component	"b'\\U0001f4cc'"
419	🕢	main_component	"b'\\U0001f562'"
420	⛄	main_component	"b'\\u26c4'"
421	🌚	main_component	"b'\\U0001f31a'"
422	💘	main_component	"b'\\U0001f498'"
423	✒	main_component	"b'\\u2712'"
424	📅	main_component	"b'\\U0001f4c5'"
425	🏬	main_component	"b'\\U0001f3ec'"
426	🚗	main_component	"b'\\U0001f697'"
427	🚟	main_component	"b'\\U0001f69f'"
428	🚤	main_component	"b'\\U0001f6a4'"
429	🛵	main_component	"b'\\U0001f6f5'"
430	📸	main_component	"b'\\U0001f4f8'"
431	⌛	main_component	"b'\\u231b'"
432	🔪	main_component	"b'\\U0001f52a'"
433	🏑	main_component	"b'\\U0001f3d1'"
434	◽	main_component	"b'\\u25fd'"
435	🏰	main_component	"b'\\U0001f3f0'"
436	🏖	main_component	"b'\\U0001f3d6'"
437	⏮	main_component	"b'\\u23ee'"
438	🐥	main_component	"b'\\U0001f425'"
439	🍶	main_component	"b'\\U0001f376'"
440	🦀	main_component	"b'\\U0001f980'"
441	🦜	main_component	"b'\\U0001f99c'"
442	⤴	main_component	"b'\\u2934'"
443	🧧	main_component	"b'\\U0001f9e7'"
444	🏕	main_component	"b'\\U0001f3d5'"
445	🤣	main_component	"b'\\U0001f923'"
446	☘	main_component	"b'\\u2618'"
447	🎼	main_component	"b'\\U0001f3bc'"
448	🦁	main_component	"b'\\U0001f981'"
449	👓	main_component	"b'\\U0001f453'"
450	↗	main_component	"b'\\u2197'"
451	🕣	main_component	"b'\\U0001f563'"
452	🌧	main_component	"b'\\U0001f327'"
453	🏂	main_component	"b'\\U0001f3c2'"
454	🕓	main_component	"b'\\U0001f553'"
455	🧥	main_component	"b'\\U0001f9e5'"
456	🧣	main_component	"b'\\U0001f9e3'"
457	🎀	main_component	"b'\\U0001f380'"
458	👛	main_component	"b'\\U0001f45b'"
459	🏵	main_component	"b'\\U0001f3f5'"
460	◀	main_component	"b'\\u25c0'"
461	🙂	main_component	"b'\\U0001f642'"
462	🥽	main_component	"b'\\U0001f97d'"
463	📘	main_component	"b'\\U0001f4d8'"
464	💩	main_component	"b'\\U0001f4a9'"
465	🏛	main_component	"b'\\U0001f3db'"
466	🕰	main_component	"b'\\U0001f570'"
467	💷	main_component	"b'\\U0001f4b7'"
468	🥵	main_component	"b'\\U0001f975'"
469	🧴	main_component	"b'\\U0001f9f4'"
470	🐋	main_component	"b'\\U0001f40b'"
471	🗿	main_component	"b'\\U0001f5ff'"
472	🚠	main_component	"b'\\U0001f6a0'"
473	📩	main_component	"b'\\U0001f4e9'"
474	🌌	main_component	"b'\\U0001f30c'"
475	↘	main_component	"b'\\u2198'"
476	🗂	main_component	"b'\\U0001f5c2'"
477	🔼	main_component	"b'\\U0001f53c'"
478	👎	main_component	"b'\\U0001f44e'"
479	⛳	main_component	"b'\\u26f3'"
480	🧻	main_component	"b'\\U0001f9fb'"
481	👟	main_component	"b'\\U0001f45f'"
482	🌱	main_component	"b'\\U0001f331'"
483	🚫	main_component	"b'\\U0001f6ab'"
484	🥳	main_component	"b'\\U0001f973'"
485	🚍	main_component	"b'\\U0001f68d'"
486	📀	main_component	"b'\\U0001f4c0'"
487	🥖	main_component	"b'\\U0001f956'"
488	🐙	main_component	"b'\\U0001f419'"
489	🥭	main_component	"b'\\U0001f96d'"
490	🤛	main_component	"b'\\U0001f91b'"
491	🤷	main_component	"b'\\U0001f937'"
492	👚	main_component	"b'\\U0001f45a'"
493	🛂	main_component	"b'\\U0001f6c2'"
494	☄	main_component	"b'\\u2604'"
495	📖	main_component	"b'\\U0001f4d6'"
496	🧸	main_component	"b'\\U0001f9f8'"
497	🔊	main_component	"b'\\U0001f50a'"
498	🦐	main_component	"b'\\U0001f990'"
499	🏨	main_component	"b'\\U0001f3e8'"
500	🎠	main_component	"b'\\U0001f3a0'"
501	🗣	main_component	"b'\\U0001f5e3'"
502	👿	main_component	"b'\\U0001f47f'"
503	🔺	main_component	"b'\\U0001f53a'"
504	🔶	main_component	"b'\\U0001f536'"
505	🥤	main_component	"b'\\U0001f964'"
506	🌺	main_component	"b'\\U0001f33a'"
507	🔖	main_component	"b'\\U0001f516'"
508	🐰	main_component	"b'\\U0001f430'"
509	🈯	main_component	"b'\\U0001f22f'"
510	🕗	main_component	"b'\\U0001f557'"
511	📬	main_component	"b'\\U0001f4ec'"
512	🔷	main_component	"b'\\U0001f537'"
513	🍅	main_component	"b'\\U0001f345'"
514	🥺	main_component	"b'\\U0001f97a'"
515	➿	main_component	"b'\\u27bf'"
516	🚇	main_component	"b'\\U0001f687'"
517	🗽	main_component	"b'\\U0001f5fd'"
518	⛑	main_component	"b'\\u26d1'"
519	🥢	main_component	"b'\\U0001f962'"
520	🎺	main_component	"b'\\U0001f3ba'"
521	⏩	main_component	"b'\\u23e9'"
522	🔵	main_component	"b'\\U0001f535'"
523	↔	main_component	"b'\\u2194'"
524	☺	main_component	"b'\\u263a'"
525	🦓	main_component	"b'\\U0001f993'"
526	📜	main_component	"b'\\U0001f4dc'"
527	🦲	main_component	"b'\\U0001f9b2'"
528	🐹	main_component	"b'\\U0001f439'"
529	😃	main_component	"b'\\U0001f603'"
530	👏	main_component	"b'\\U0001f44f'"
531	🥣	main_component	"b'\\U0001f963'"
532	🎶	main_component	"b'\\U0001f3b6'"
533	🐝	main_component	"b'\\U0001f41d'"
534	💤	main_component	"b'\\U0001f4a4'"
535	🌎	main_component	"b'\\U0001f30e'"
536	⚒	main_component	"b'\\u2692'"
537	💕	main_component	"b'\\U0001f495'"
538	⬜	main_component	"b'\\u2b1c'"
539	◼	main_component	"b'\\u25fc'"
540	📨	main_component	"b'\\U0001f4e8'"
541	🕚	main_component	"b'\\U0001f55a'"
542	♎	main_component	"b'\\u264e'"
543	👙	main_component	"b'\\U0001f459'"
544	🛢	main_component	"b'\\U0001f6e2'"
545	🌍	main_component	"b'\\U0001f30d'"
546	🛁	main_component	"b'\\U0001f6c1'"
547	🎯	main_component	"b'\\U0001f3af'"
548	🎵	main_component	"b'\\U0001f3b5'"
549	💹	main_component	"b'\\U0001f4b9'"
550	🦂	main_component	"b'\\U0001f982'"
551	🥍	main_component	"b'\\U0001f94d'"
552	🐏	main_component	"b'\\U0001f40f'"
553	🔚	main_component	"b'\\U0001f51a'"
554	🔡	main_component	"b'\\U0001f521'"
555	🧒	main_component	"b'\\U0001f9d2'"
556	⏬	main_component	"b'\\u23ec'"
557	🛸	main_component	"b'\\U0001f6f8'"
558	🍱	main_component	"b'\\U0001f371'"
559	🔇	main_component	"b'\\U0001f507'"
560	🙇	main_component	"b'\\U0001f647'"
561	🌲	main_component	"b'\\U0001f332'"
562	👞	main_component	"b'\\U0001f45e'"
563	⬅	main_component	"b'\\u2b05'"
564	🧫	main_component	"b'\\U0001f9eb'"
565	🍠	main_component	"b'\\U0001f360'"
566	🔕	main_component	"b'\\U0001f515'"
567	❎	main_component	"b'\\u274e'"
568	↕	main_component	"b'\\u2195'"
569	🐯	main_component	"b'\\U0001f42f'"
570	🗻	main_component	"b'\\U0001f5fb'"
571	📇	main_component	"b'\\U0001f4c7'"
572	🤤	main_component	"b'\\U0001f924'"
573	🐃	main_component	"b'\\U0001f403'"
574	☹	main_component	"b'\\u2639'"
575	🐘	main_component	"b'\\U0001f418'"
576	💚	main_component	"b'\\U0001f49a'"
577	👂	main_component	"b'\\U0001f442'"
578	😅	main_component	"b'\\U0001f605'"
579	🧼	main_component	"b'\\U0001f9fc'"
580	🏤	main_component	"b'\\U0001f3e4'"
581	🎆	main_component	"b'\\U0001f386'"
582	🤦	main_component	"b'\\U0001f926'"
583	😹	main_component	"b'\\U0001f639'"
584	🐩	main_component	"b'\\U0001f429'"
585	👻	main_component	"b'\\U0001f47b'"
586	⛷	main_component	"b'\\u26f7'"
587	😤	main_component	"b'\\U0001f624'"
588	👼	main_component	"b'\\U0001f47c'"
589	🏴	main_component	"b'\\U0001f3f4'"
590	🧟	main_component	"b'\\U0001f9df'"
591	😓	main_component	"b'\\U0001f613'"
592	🎭	main_component	"b'\\U0001f3ad'"
593	®	main_component	"b'\\xae'"
594	🤪	main_component	"b'\\U0001f92a'"
595	😥	main_component	"b'\\U0001f625'"
596	🥪	main_component	"b'\\U0001f96a'"
597	🛅	main_component	"b'\\U0001f6c5'"
598	🥕	main_component	"b'\\U0001f955'"
599	📊	main_component	"b'\\U0001f4ca'"
600	🤡	main_component	"b'\\U0001f921'"
601	💏	main_component	"b'\\U0001f48f'"
