id	char	class	unicode_bytes
0	🅰	main_component	"b'\\U0001f170'"
1	🐗	main_component	"b'\\U0001f417'"
2	🌂	main_component	"b'\\U0001f302'"
3	🦙	main_component	"b'\\U0001f999'"
4	🈷	main_component	"b'\\U0001f237'"
5	🛴	main_component	"b'\\U0001f6f4'"
6	🌼	main_component	"b'\\U0001f33c'"
7	🥈	main_component	"b'\\U0001f948'"
8	👜	main_component	"b'\\U0001f45c'"
9	🙀	main_component	"b'\\U0001f640'"
10	🍏	main_component	"b'\\U0001f34f'"
11	🐔	main_component	"b'\\U0001f414'"
12	🤵	main_component	"b'\\U0001f935'"
13	🔤	main_component	"b'\\U0001f524'"
14	🌮	main_component	"b'\\U0001f32e'"
15	✨	main_component	"b'\\u2728'"
16	🤫	main_component	"b'\\U0001f92b'"
17	🧪	main_component	"b'\\U0001f9ea'"
18	🐕	main_component	"b'\\U0001f415'"
19	🎋	main_component	"b'\\U0001f38b'"
20	😣	main_component	"b'\\U0001f623'"
21	🔯	main_component	"b'\\U0001f52f'"
22	🚸	main_component	"b'\\U0001f6b8'"
23	😑	main_component	"b'\\U0001f611'"
24	🧗	main_component	"b'\\U0001f9d7'"
25	🐓	main_component	"b'\\U0001f413'"
26	🍒	main_component	"b'\\U0001f352'"
27	💟	main_component	"b'\\U0001f49f'"
28	🏌	main_component	"b'\\U0001f3cc'"
29	🔎	main_component	"b'\\U0001f50e'"
30	👥	main_component	"b'\\U0001f465'"
31	🍩	main_component	"b'\\U0001f369'"
32	🃏	main_component	"b'\\U0001f0cf'"
33	🔝	main_component	"b'\\U0001f51d'"
34	😸	main_component	"b'\\U0001f638'"
35	🏈	main_component	"b'\\U0001f3c8'"
36	⚡	main_component	"b'\\u26a1'"
37	🐮	main_component	"b'\\U0001f42e'"
38	🦞	main_component	"b'\\U0001f99e'"
39	🍼	main_component	"b'\\U0001f37c'"
40	🎏	main_component	"b'\\U0001f38f'"
41	🍃	main_component	"b'\\U0001f343'"
42	🔛	main_component	"b'\\U0001f51b'"
43	📔	main_component	"b'\\U0001f4d4'"
44	🥨	main_component	"b'\\U0001f968'"
45	♣	main_component	"b'\\u2663'"
46	🙅	main_component	"b'\\U0001f645'"
47	🛌	main_component	"b'\\U0001f6cc'"
48	💰	main_component	"b'\\U0001f4b0'"
49	♂	main_component	"b'\\u2642'"
50	🛫	main_component	"b'\\U0001f6eb'"
51	🛩	main_component	"b'\\U0001f6e9'"
52	😶	main_component	"b'\\U0001f636'"
53	🤮	main_component	"b'\\U0001f92e'"
54	🐷	main_component	"b'\\U0001f437'"
55	🚄	main_component	"b'\\U0001f684'"
56	🕠	main_component	"b'\\U0001f560'"
57	🎄	main_component	"b'\\U0001f384'"
58	📕	main_component	"b'\\U0001f4d5'"
59	🐁	main_component	"b'\\U0001f401'"
60	🌉	main_component	"b'\\U0001f309'"
61	👔	main_component	"b'\\U0001f454'"
62	😏	main_component	"b'\\U0001f60f'"
63	📎	main_component	"b'\\U0001f4ce'"
64	🧁	main_component	"b'\\U0001f9c1'"
65	🏆	main_component	"b'\\U0001f3c6'"
66	♈	main_component	"b'\\u2648'"
67	🌆	main_component	"b'\\U0001f306'"
68	👨	main_component	"b'\\U0001f468'"
69	🍫	main_component	"b'\\U0001f36b'"
70	🙁	main_component	"b'\\U0001f641'"
71	♍	main_component	"b'\\u264d'"
72	😱	main_component	"b'\\U0001f631'"
73	🧘	main_component	"b'\\U0001f9d8'"
74	🐚	main_component	"b'\\U0001f41a'"
75	👈	main_component	"b'\\U0001f448'"
76	🐡	main_component	"b'\\U0001f421'"
77	⛲	main_component	"b'\\u26f2'"
78	📳	main_component	"b'\\U0001f4f3'"
79	♋	main_component	"b'\\u264b'"
80	🍹	main_component	"b'\\U0001f379'"
81	⏸	main_component	"b'\\u23f8'"
82	🚒	main_component	"b'\\U0001f692'"
83	🔭	main_component	"b'\\U0001f52d'"
84	🚪	main_component	"b'\\U0001f6aa'"
85	🌅	main_component	"b'\\U0001f305'"
86	⏏	main_component	"b'\\u23cf'"
87	🥚	main_component	"b'\\U0001f95a'"
88	🛳	main_component	"b'\\U0001f6f3'"
89	🔄	main_component	"b'\\U0001f504'"
90	🦕	main_component	"b'\\U0001f995'"
91	❣	main_component	"b'\\u2763'"
92	😻	main_component	"b'\\U0001f63b'"
93	🔣	main_component	"b'\\U0001f523'"
94	🛏	main_component	"b'\\U0001f6cf'"
95	↙	main_component	"b'\\u2199'"
96	🦠	main_component	"b'\\U0001f9a0'"
97	🚁	main_component	"b'\\U0001f681'"
98	🉐	main_component	"b'\\U0001f250'"
99	👷	main_component	"b'\\U0001f477'"
100	😂	main_component	"b'\\U0001f602'"
101	❗	main_component	"b'\\u2757'"
102	🤹	main_component	"b'\\U0001f939'"
103	🦱	main_component	"b'\\U0001f9b1'"
104	🚨	main_component	"b'\\U0001f6a8'"
105	👵	main_component	"b'\\U0001f475'"
106	🎸	main_component	"b'\\U0001f3b8'"
107	🌃	main_component	"b'\\U0001f303'"
108	😩	main_component	"b'\\U0001f629'"
109	🤬	main_component	"b'\\U0001f92c'"
110	🐑	main_component	"b'\\U0001f411'"
111	🌝	main_component	"b'\\U0001f31d'"
112	🎪	main_component	"b'\\U0001f3aa'"
113	😽	main_component	"b'\\U0001f63d'"
114	🈺	main_component	"b'\\U0001f23a'"
115	🐲	main_component	"b'\\U0001f432'"
116	🛄	main_component	"b'\\U0001f6c4'"
117	♻	main_component	"b'\\u267b'"
118	🚞	main_component	"b'\\U0001f69e'"
119	🏀	main_component	"b'\\U0001f3c0'"
120	📫	main_component	"b'\\U0001f4eb'"
121	🕐	main_component	"b'\\U0001f550'"
122	🎉	main_component	"b'\\U0001f389'"
123	🈴	main_component	"b'\\U0001f234'"
124	➰	main_component	"b'\\u27b0'"
125	🍢	main_component	"b'\\U0001f362'"
126	♀	main_component	"b'\\u2640'"
127	🏮	main_component	"b'\\U0001f3ee'"
128	😠	main_component	"b'\\U0001f620'"
129	⌚	main_component	"b'\\u231a'"
130	♿	main_component	"b'\\u267f'"
131	😌	main_component	"b'\\U0001f60c'"
132	📧	main_component	"b'\\U0001f4e7'"
133	🔽	main_component	"b'\\U0001f53d'"
134	♐	main_component	"b'\\u2650'"
135	🏊	main_component	"b'\\U0001f3ca'"
136	🛡	main_component	"b'\\U0001f6e1'"
137	▪	main_component	"b'\\u25aa'"
138	🌵	main_component	"b'\\U0001f335'"
139	🆕	main_component	"b'\\U0001f195'"
140	🚆	main_component	"b'\\U0001f686'"
141	🖇	main_component	"b'\\U0001f587'"
142	⏺	main_component	"b'\\u23fa'"
143	🏢	main_component	"b'\\U0001f3e2'"
144	🎑	main_component	"b'\\U0001f391'"
145	🥟	main_component	"b'\\U0001f95f'"
146	🥩	main_component	"b'\\U0001f969'"
147	✉	main_component	"b'\\u2709'"
148	🍨	main_component	"b'\\U0001f368'"
149	🕎	main_component	"b'\\U0001f54e'"
150	🛐	main_component	"b'\\U0001f6d0'"
151	⛱	main_component	"b'\\u26f1'"
152	🦈	main_component	"b'\\U0001f988'"
153	🌽	main_component	"b'\\U0001f33d'"
154	🏞	main_component	"b'\\U0001f3de'"
155	✈	main_component	"b'\\u2708'"
