DETOID	DUID	FLOORID	SERIALNUMBER	UPI	DOMID
D_ORCA003	1	0	267	3.4.3.2/V2-2-1/2.267	808476701
D_ORCA003	1	1	410	3.4.3.2/V2-2-1/2.410	808432836
D_ORCA003	1	2	161	3.4.3.2/V2-2-1/2.161	808949646
D_ORCA003	1	3	306	3.4.3.2/V2-2-1/2.306	808483678
D_ORCA003	4	15	448	3.4.3.2/V2-2-1/2.448	808451907
D_ORCA003	4	16	436	3.4.3.2/V2-2-1/2.436	809521500
D_ORCA003	4	17	551	3.4.3.2/V2-2-1/2.551	806487219
D_ORCA003	4	18	111	3.4.3.2/V2-2-1/2.111	808972598
D_ORCA003	1	4	265	3.4.3.2/V2-2-1/2.265	808476737
D_ORCA003	1	5	116	3.4.3.2/V2-2-1/2.116	808945480
D_ORCA003	1	6	565	3.4.3.2/V2-2-1/2.565	808982030
D_ORCA003	1	7	128	3.4.3.2/V2-2-1/2.128	808985283
D_ORCA003	1	8	602	3.4.3.2/V2-2-1/2.602	809004291
D_ORCA003	1	9	356	3.4.3.2/V2-2-1/2.356	808963189
D_ORCA003	1	10	534	3.4.3.2/V2-2-1/2.534	808968978
D_ORCA003	1	11	249	3.4.3.2/V2-2-1/2.249	808982065
D_ORCA003	1	12	592	3.4.3.2/V2-2-1/2.592	809548770
D_ORCA003	1	13	374	3.4.3.2/V2-2-1/2.374	808949902
D_ORCA003	1	14	299	3.4.3.2/V2-2-1/2.299	808971989
D_ORCA003	1	15	387	3.4.3.2/V2-2-1/2.387	808945629
D_ORCA003	1	16	307	3.4.3.2/V2-2-1/2.307	808483667
D_ORCA003	1	17	409	3.4.3.2/V2-2-1/2.409	808432848
D_ORCA003	1	18	408	3.4.3.2/V2-2-1/2.408	808432849
D_ORCA003	3	0	244	3.4.3.2/V2-2-1/2.244	808981515
D_ORCA003	3	1	72	3.4.3.2/V2-2-1/2.72	808946818
D_ORCA003	3	2	529	3.4.3.2/V2-2-1/2.529	809006037
D_ORCA003	3	3	560	3.4.3.2/V2-2-1/2.560	808982041
D_ORCA003	3	4	126	3.4.3.2/V2-2-1/2.126	808979729
D_ORCA003	3	5	550	3.4.3.2/V2-2-1/2.550	806483369
D_ORCA003	3	6	67	3.4.3.2/V2-2-1/2.67	808974758
D_ORCA003	3	7	533	3.4.3.2/V2-2-1/2.533	808981672
D_ORCA003	3	8	301	3.4.3.2/V2-2-1/2.301	808447180
D_ORCA003	3	9	444	3.4.3.2/V2-2-1/2.444	808472265
D_ORCA003	3	10	557	3.4.3.2/V2-2-1/2.557	806455814
D_ORCA003	3	11	572	3.4.3.2/V2-2-1/2.572	808493231
D_ORCA003	3	12	536	3.4.3.2/V2-2-1/2.536	808974972
D_ORCA003	3	13	570	3.4.3.2/V2-2-1/2.570	806487231
D_ORCA003	3	14	94	3.4.3.2/V2-2-1/2.94	808961480
D_ORCA003	3	15	571	3.4.3.2/V2-2-1/2.571	806465101
D_ORCA003	3	16	276	3.4.3.2/V2-2-1/2.276	808488895
D_ORCA003	3	17	286	3.4.3.2/V2-2-1/2.286	808447186
D_ORCA003	3	18	100	3.4.3.2/V2-2-1/2.100	808964852
D_ORCA003	4	0	305	3.4.3.2/V2-2-1/2.305	808967761
D_ORCA003	4	1	284	3.4.3.2/V2-2-1/2.284	808435278
D_ORCA003	4	2	90	3.4.3.2/V2-2-1/2.90	808981812
D_ORCA003	4	3	209	3.4.3.2/V2-2-1/2.209	808976377
D_ORCA003	4	4	243	3.4.3.2/V2-2-1/2.243	808981510
D_ORCA003	4	5	237	3.4.3.2/V2-2-1/2.237	808959411
D_ORCA003	4	6	121	3.4.3.2/V2-2-1/2.121	808982547
D_ORCA003	4	7	50	3.4.3.2/V2-2-1/2.50	808969857
D_ORCA003	4	8	60	3.4.3.2/V2-2-1/2.60	808974811
D_ORCA003	4	9	554	3.4.3.2/V2-2-1/2.554	806487226
D_ORCA003	4	10	107	3.4.3.2/V2-2-1/2.107	808984711
D_ORCA003	4	11	426	3.4.3.2/V2-2-1/2.426	809524432
D_ORCA003	4	12	445	3.4.3.2/V2-2-1/2.445	808472260
D_ORCA003	4	13	113	3.4.3.2/V2-2-1/2.113	808972593
D_ORCA003	4	14	245	3.4.3.2/V2-2-1/2.245	808981523
