Country,"Harmonized category","Spending (billions FCFA)","Number of users (millions)","Unit cost (Thousands FCFA)"
Mali,"Basic Education",183.0,1.8,104.0
Mali,"Secondary and Higher Education",73.0,0.1,604.7
Mali,Total,256.0,1.9,136.8
Senegal,Preschool,1.4,0.0,28.9
Senegal,Primary,189.8,1.5,128.5
Senegal,Secondary,141.2,0.7,214.5
Senegal,Higher,103.8,0.1,1145.3
Senegal,Total,436.2,2.3,191.8
"Cote d'Ivoire",Preschool,22.2,0.1,217.2
"Cote d'Ivoire",Primary,373.2,2.8,131.4
"Cote d'Ivoire",Secondary,338.0,0.8,442.9
"Cote d'Ivoire",Higher,171.1,0.1,2036.9
"Cote d'Ivoire",Total,904.5,3.8,238.7
