#Num Pixel,I,q,I-Bruit"
1,419200,.371485691473565,419050
2,418500,.371063758144376,418350
3,421800,.370641820813628,421650
4,424400,.370219879485869,424250
5,422400,.36979793416565,422250
6,421200,.369375984857521,421050
7,420300,.368954031566033,420150
8,422400,.368532074295737,422250
9,424000,.368110113051181,423850
10,420700,.367688147836918,420550
11,420200,.367266178657496,420050
12,423800,.366844205517468,423650
13,421800,.366422228421383,421650
14,422000,.366000247373792,421850
15,423300,.365578262379245,423150
16,422000,.365156273442294,421850
17,420200,.364734280567489,420050
18,421000,.364312283759381,420850
19,420400,.363890283022521,420250
20,423400,.363468278361459,423250
21,421100,.363046269780747,420950
22,424000,.362624257284935,423850
23,421300,.362202240878575,421150
24,422600,.361780220566217,422450
25,422400,.361358196352413,422250
26,423000,.360936168241713,422850
27,422700,.360514136238669,422550
28,425200,.360092100347832,425050
29,424900,.359670060573754,424750
30,421400,.359248016920985,421250
31,421600,.358825969394077,421450
32,420200,.358403917997581,420050
33,421700,.357981862736049,421550
34,422400,.357559803614032,422250
35,422800,.357137740636081,422650
36,421400,.356715673806749,421250
37,420400,.356293603130586,420250
38,421300,.355871528612145,421150
39,422300,.355449450255977,422150
40,421500,.355027368066633,421350
41,421100,.354605282048666,420950
42,422900,.354183192206628,422750
43,422600,.353761098545069,422450
44,422100,.353339001068542,421950
45,422300,.352916899781599,422150
46,421800,.352494794688792,421650
47,423400,.352072685794673,423250
48,422000,.351650573103793,421850
49,421900,.351228456620706,421750
50,422200,.350806336349962,422050
51,420500,.350384212296115,420350
52,421800,.349962084463716,421650
53,422000,.349539952857317,421850
54,420500,.349117817481472,420350
55,421800,.348695678340732,421650
56,422700,.348273535439649,422550
57,423000,.347851388782776,422850
58,420300,.347429238374665,420150
59,422400,.34700708421987,422250
60,419700,.346584926322942,419550
61,423000,.346162764688433,422850
62,420400,.345740599320898,420250
63,421000,.345318430224887,420850
64,420400,.344896257404955,420250
65,424900,.344474080865653,424750
66,423900,.344051900611534,423750
67,421900,.343629716647152,421750
68,421700,.343207528977058,421550
69,421200,.342785337605807,421050
70,421600,.34236314253795,421450
71,421700,.341940943778041,421550
72,420800,.341518741330633,420650
73,421600,.341096535200278,421450
74,423100,.340674325391531,422950
75,421600,.340252111908943,421450
76,422300,.339829894757069,422150
77,421900,.339407673940461,421750
78,423400,.338985449463673,423250
79,423400,.338563221331257,423250
80,421600,.338140989547768,421450
81,420200,.337718754117758,420050
82,421900,.337296515045782,421750
83,421300,.336874272336391,421150
84,421500,.336452025994141,421350
85,422400,.336029776023584,422250
86,422400,.335607522429274,422250
87,422800,.335185265215764,422650
88,420500,.334763004387609,420350
89,423900,.334340739949361,423750
90,423700,.333918471905576,423550
91,421700,.333496200260805,421550
92,422900,.333073925019603,422750
93,421600,.332651646186525,421450
94,423200,.332229363766123,423050
95,423200,.331807077762951,423050
96,424200,.331384788181565,424050
97,423500,.330962495026517,423350
98,422700,.330540198302361,422550
99,421500,.330117898013653,421350
100,423200,.329695594164945,423050
101,422600,.329273286760792,422450
102,420300,.328850975805748,420150
103,421700,.328428661304367,421550
104,421400,.328006343261204,421250
105,422400,.327584021680813,422250
106,421400,.327161696567748,421250
107,421600,.326739367926563,421450
108,423100,.326317035761814,422950
109,421700,.325894700078053,421550
110,422500,.325472360879837,422350
111,422600,.325050018171719,422450
112,421800,.324627671958254,421650
113,424800,.324205322243996,424650
114,424600,.323782969033501,424450
115,426900,.323360612331322,426750
116,424800,.322938252142015,424650
117,422600,.322515888470134,422450
118,424200,.322093521320234,424050
119,423700,.32167115069687,423550
120,422900,.321248776604597,422750
121,424300,.320826399047969,424150
122,429300,.320404018031541,429150
123,425700,.31998163355987,425550
124,425000,.319559245637508,424850
125,427000,.319136854269013,426850
126,423700,.318714459458938,423550
127,424200,.318292061211838,424050
128,424000,.31786965953227,423850
129,428100,.317447254424787,427950
130,429600,.317024845893946,429450
131,426100,.316602433944302,425950
132,431100,.316180018580409,430950
133,427700,.315757599806823,427550
134,429700,.3153351776281,429550
135,431800,.314912752048795,431650
136,428000,.314490323073464,427850
137,430600,.314067890706661,430450
138,431600,.313645454952943,431450
139,433900,.313223015816865,433750
140,437600,.312800573302982,437450
141,440800,.312378127415851,440650
142,443600,.311955678160026,443450
143,441800,.311533225540064,441650
144,442400,.311110769560521,442250
145,449600,.310688310225951,449450
146,447200,.310265847540912,447050
147,446700,.309843381509958,446550
148,452900,.309420912137646,452750
149,457200,.308998439428531,457050
150,455900,.30857596338717,455750
151,457500,.308153484018118,457350
152,455700,.307731001325932,455550
153,459000,.307308515315168,458850
154,467300,.306886025990381,467150
155,461000,.306463533356128,460850
156,463300,.306041037416965,463150
157,466000,.305618538177449,465850
158,461600,.305196035642134,461450
159,462900,.304773529815579,462750
160,464000,.304351020702338,463850
161,466500,.303928508306969,466350
162,466800,.303505992634028,466650
163,466800,.303083473688071,466650
164,464400,.302660951473654,464250
165,462200,.302238425995335,462050
166,463000,.301815897257669,462850
167,458600,.301393365265214,458450
168,456300,.300970830022525,456150
169,454300,.30054829153416,454150
170,457600,.300125749804675,457450
171,449700,.299703204838627,449550
172,448200,.299280656640572,448050
173,439400,.298858105215068,439250
174,447500,.298435550566671,447350
175,450000,.298012992699937,449850
176,440800,.297590431619425,440650
177,442100,.29716786732969,441950
178,441500,.29674529983529,441350
179,437400,.296322729140782,437250
180,430600,.295900155250722,430450
181,435600,.295477578169668,435450
182,437800,.295054997902177,437650
183,433600,.294632414452806,433450
184,434300,.294209827826112,434150
185,434400,.293787238026652,434250
186,433400,.293364645058983,433250
187,426900,.292942048927664,426750
188,427900,.29251944963725,427750
189,429500,.2920968471923,429350
190,427600,.29167424159737,427450
191,430200,.291251632857018,430050
192,427400,.290829020975802,427250
193,427000,.290406405958279,426850
194,427100,.289983787809007,426950
195,426200,.289561166532542,426050
196,427800,.289138542133443,427650
197,425500,.288715914616267,425350
198,427200,.288293283985571,427050
199,429100,.287870650245914,428950
200,425500,.287448013401854,425350
201,423900,.287025373457947,423750
202,426100,.286602730418751,425950
203,427700,.286180084288825,427550
204,427900,.285757435072727,427750
205,427500,.285334782775013,427350
206,425000,.284912127400242,424850
207,426700,.284489468952972,426550
208,426200,.284066807437761,426050
209,423700,.283644142859167,423550
210,424200,.283221475221747,424050
211,427500,.282798804530061,427350
212,423200,.282376130788665,423050
213,424200,.281953454002119,424050
214,424800,.28153077417498,424650
215,424400,.281108091311806,424250
216,426400,.280685405417156,426250
217,426300,.280262716495588,426150
218,426400,.27984002455166,426250
219,424500,.279417329589931,424350
220,425200,.278994631614959,425050
221,424900,.278571930631302,424750
222,425100,.278149226643519,424950
223,423700,.277726519656168,423550
224,423300,.277303809673807,423150
225,425200,.276881096700996,425050
226,421100,.276458380742292,420950
227,421700,.276035661802255,421550
228,423100,.275612939885442,422950
229,423300,.275190214996413,423150
230,424300,.274767487139727,424150
231,422100,.274344756319941,421950
232,424300,.273922022541615,424150
233,423500,.273499285809307,423350
234,424900,.273076546127576,424750
235,423100,.272653803500982,422950
236,425000,.272231057934083,424850
237,426300,.271808309431437,426150
238,423700,.271385557997604,423550
239,424600,.270962803637143,424450
240,422400,.270540046354612,422250
241,422900,.270117286154572,422750
242,424500,.26969452304158,424350
243,425800,.269271757020196,425650
244,423500,.268848988094979,423350
245,426400,.268426216270488,426250
246,425700,.268003441551282,425550
247,426100,.267580663941921,425950
248,426700,.267157883446964,426550
249,424100,.26673510007097,423950
250,424600,.266312313818498,424450
251,422700,.265889524694108,422550
252,423200,.265466732702359,423050
253,423200,.265043937847811,423050
254,423400,.264621140135022,423250
255,424400,.264198339568553,424250
256,427400,.263775536152962,427250
257,424200,.26335272989281,424050
258,427700,.262929920792656,427550
259,424100,.26250710885706,423950
260,423800,.26208429409058,423650
261,425000,.261661476497777,424850
262,423700,.261238656083211,423550
263,424500,.260815832851441,424350
264,423300,.260393006807027,423150
265,421700,.259970177954528,421550
