R.color.pure_transparent,R.color.Unify_N0_22
@color/pure_transparent,@color/Unify_N0_22
R.color.tkpd_main_green_70,R.color.Unify_G400
@color/tkpd_main_green_70,@color/Unify_G400
R.color.background_splash_screen,R.color.Unify_Y300
@color/background_splash_screen,@color/Unify_Y300
R.color.background_top_splash_screen,R.color.Unify_T200
@color/background_top_splash_screen,@color/Unify_T200
R.color.background_bottom_splash_screen,R.color.Unify_N0
@color/background_bottom_splash_screen,@color/Unify_N0
R.color.black_87,R.color.Unify_N700_96
@color/black_87,@color/Unify_N700_96
R.color.red_1,R.color.Unify_R600
@color/red_1,@color/Unify_R600
R.color.yellow_1,R.color.Unify_Y300
@color/yellow_1,@color/Unify_Y300
R.color.label_color,R.color.Unify_N300
@color/label_color,@color/Unify_N300
R.color.qr_scanner_tkpd_main_green_70,R.color.Unify_G400
@color/qr_scanner_tkpd_main_green_70,@color/Unify_G400
R.color.qr_scanner_tkpd_main_green,R.color.Unify_G400
@color/qr_scanner_tkpd_main_green,@color/Unify_G400
R.color.qr_scanner_black_54,R.color.Unify_N700_44
@color/qr_scanner_black_54,@color/Unify_N700_44
R.color.qr_scanner_medium_green,R.color.Unify_G400
@color/qr_scanner_medium_green,@color/Unify_G400
R.color.qr_scanner_white,R.color.Unify_N0
@color/qr_scanner_white,@color/Unify_N0
R.color.qr_scanner_black_36,R.color.Unify_N700_32
@color/qr_scanner_black_36,@color/Unify_N700_32
R.color.clr_E5E7E9,R.color.Unify_N75
@color/clr_E5E7E9,@color/Unify_N75
R.color.clr_EF144A,R.color.Unify_R500
@color/clr_EF144A,@color/Unify_R500
R.color.bg_saldo_gradient_start,R.color.Unify_T700
@color/bg_saldo_gradient_start,@color/Unify_T700
R.color.bg_saldo_gradient_end,R.color.Unify_T600
@color/bg_saldo_gradient_end,@color/Unify_T600
R.color.color_ongoing_bg,R.color.Unify_T200
@color/color_ongoing_bg,@color/Unify_T200
R.color.color_ongoing_text,R.color.Unify_B600
@color/color_ongoing_text,@color/Unify_B600
R.color.color_finished_bg,R.color.Unify_N100
@color/color_finished_bg,@color/Unify_N100
R.color.medium_green_two,R.color.Unify_G600
@color/medium_green_two,@color/Unify_G600
R.color.filter_background_inactive,R.color.Unify_N700_32
@color/filter_background_inactive,@color/Unify_N700_32
R.color.filter_background_active,R.color.Unify_G500
@color/filter_background_active,@color/Unify_G500
R.color.af_add_disabled,R.color.Unify_N75
@color/af_add_disabled,@color/Unify_N75
R.color.af_price_red,R.color.Unify_Y500
@color/af_price_red,@color/Unify_Y500
R.color.af_commission_blue,R.color.Unify_B500
@color/af_commission_blue,@color/Unify_B500
R.color.ae000000,R.color.Unify_N700_68
@color/ae000000,@color/Unify_N700_68
R.color.c45000000,R.color.Unify_N700_32
@color/c45000000,@color/Unify_N700_32
R.color.cp_Yellow_Y500,R.color.Unify_Y500
@color/cp_Yellow_Y500,@color/Unify_Y500
R.color.explore_tag_text,R.color.Unify_N700_68
@color/explore_tag_text,@color/Unify_N700_68
R.color.black_screen_overlay,R.color.Unify_N700_44
@color/black_screen_overlay,@color/Unify_N700_44
R.color.shadow_color_1,R.color.Unify_N150
@color/shadow_color_1,@color/Unify_N150
R.color.shadow_color_2,R.color.Unify_N150
@color/shadow_color_2,@color/Unify_N150
R.color.shadow_color_3,R.color.Unify_N150
@color/shadow_color_3,@color/Unify_N150
R.color.shadow_color_4,R.color.Unify_N150
@color/shadow_color_4,@color/Unify_N150
R.color.shadow_color_5,R.color.Unify_N150
@color/shadow_color_5,@color/Unify_N150
R.color.feed_new_cards_border,R.color.Unify_N100
@color/feed_new_cards_border,@color/Unify_N100
R.color.feed_color_black_grey,R.color.Unify_N700
@color/feed_color_black_grey,@color/Unify_N700
R.color.feed_bg_color,R.color.Unify_N0
@color/feed_bg_color,@color/Unify_N0
R.color.trans_black_70,R.color.Unify_N700_68
@color/trans_black_70,@color/Unify_N700_68
R.color.grey_chevron,R.color.Unify_N150
@color/grey_chevron,@color/Unify_N150
R.color.feed_gradient_1,R.color.Unify_G300
@color/feed_gradient_1,@color/Unify_G300
R.color.feed_gradient_2,R.color.Unify_B500
@color/feed_gradient_2,@color/Unify_B500
R.color.poll_black,R.color.Unify_N700_44
@color/poll_black,@color/Unify_N700_44
R.color.poll_first_green,R.color.Unify_G500
@color/poll_first_green,@color/Unify_G500
R.color.poll_second_green,R.color.Unify_N150
@color/poll_second_green,@color/Unify_N150
R.color.poll_first_white,R.color.Unify_N100
@color/poll_first_white,@color/Unify_N100
R.color.poll_second_white,R.color.Unify_N100
@color/poll_second_white,@color/Unify_N100
R.color.poll_first_white_image,R.color.Unify_N150
@color/poll_first_white_image,@color/Unify_N150
R.color.poll_second_white_image,R.color.Unify_N50
@color/poll_second_white_image,@color/Unify_N50
R.color.feed_color_black_68,R.color.Unify_N700
@color/feed_color_black_68,@color/Unify_N700
R.color.feed_discount_bg_red,R.color.Unify_R200
@color/feed_discount_bg_red,@color/Unify_R200
R.color.feed_cashback_bg_green,R.color.Unify_G200
@color/feed_cashback_bg_green,@color/Unify_G200
R.color.feed_color_green_60,R.color.Unify_G500
@color/feed_color_green_60,@color/Unify_G500
R.color.feed_image_default,R.color.Unify_N50
@color/feed_image_default,@color/Unify_N50
R.color.color_like_comment_share,R.color.Unify_N700_68
@color/color_like_comment_share,@color/Unify_N700_68
R.color.background_footer_green,R.color.Unify_G100
@color/background_footer_green,@color/Unify_G100
